[Latitude],[Longitude],[Value]
-52.42,0.00,0.00
-52.25,-1.00,0.00
-52.15,-2.00,0.00
-52.00,-2.60,0.00
-51.51,-2.00,0.00
-51.00,-1.33,0.00
-50.84,-2.00,0.00
-50.81,-3.00,0.00
-50.81,-4.00,0.00
-50.90,-5.00,0.00
-51.80,-6.00,0.00
-52.00,-6.49,0.00
-52.14,-7.00,0.00
-52.19,-8.00,0.00
-52.55,-9.00,0.00
-53.00,-10.00,0.00
-53.54,-11.00,0.00
-53.69,-12.00,0.00
-53.61,-13.00,0.00
-53.55,-14.00,0.00
-53.64,-15.00,0.00
-53.69,-16.00,0.00
-53.96,-17.00,0.00
-54.61,-18.00,0.00
-55.00,-18.52,0.00
-55.24,-19.00,0.00
-55.36,-20.00,0.00
-55.40,-21.00,0.00
-55.30,-22.00,0.00
-55.03,-23.00,0.00
-54.87,-24.00,0.00
-54.60,-25.00,0.00
-54.21,-26.00,0.00
-54.00,-26.65,0.00
-53.64,-28.00,0.00
-53.24,-29.00,0.00
-53.02,-30.00,0.00
-52.72,-31.00,0.00
-52.17,-32.00,0.00
-52.00,-32.66,0.00
-51.00,-32.91,0.00
-50.95,-34.00,0.00
-50.98,-35.00,0.00
-50.84,-36.00,0.00
-51.38,-36.00,0.00
-51.08,-35.00,0.00
-52.00,-34.12,0.00
-53.00,-34.95,0.00
-54.00,-34.05,0.00
-55.00,-33.59,0.00
-56.00,-33.71,0.00
-56.29,-34.00,0.00
-56.67,-35.00,0.00
-56.59,-36.00,0.00
-56.00,-36.97,0.00
-55.66,-38.00,0.00
-55.37,-39.00,0.00
-55.33,-40.00,0.00
-55.73,-41.00,0.00
-55.98,-42.00,0.00
-56.06,-43.00,0.00
-56.19,-44.00,0.00
-56.00,-44.44,0.00
-55.76,-45.00,0.00
-55.40,-46.00,0.00
-55.84,-47.00,0.00
-56.54,-48.00,0.00
-57.00,-48.79,0.00
-57.63,-50.00,0.00
-57.60,-51.00,0.00
-57.62,-52.00,0.00
-57.80,-53.00,0.00
-57.85,-54.00,0.00
-57.63,-55.00,0.00
-57.48,-56.00,0.00
-57.56,-57.00,0.00
-57.55,-58.00,0.00
-57.59,-59.00,0.00
-57.89,-60.00,0.00
-58.38,-61.00,0.00
-58.33,-62.00,0.00
-58.06,-63.00,0.00
-58.46,-64.00,0.00
-59.00,-64.55,0.00
-59.35,-65.00,0.00
-59.68,-66.00,0.00
-59.56,-67.00,0.00
-59.46,-68.00,0.00
-60.00,-68.64,0.00
-60.36,-69.00,0.00
-60.80,-70.00,0.00
-60.81,-71.00,0.00
-60.89,-72.00,0.00
-62.00,-72.99,0.00
-62.15,-74.00,0.00
-62.04,-75.00,0.00
-61.25,-76.00,0.00
-61.84,-77.00,0.00
-63.00,-77.97,0.00
-63.25,-79.00,0.00
-63.13,-80.00,0.00
-62.47,-81.00,0.00
-62.00,-81.97,0.00
-62.32,-83.00,0.00
-62.56,-84.00,0.00
-62.78,-85.00,0.00
-62.67,-86.00,0.00
-62.41,-87.00,0.00
-62.05,-88.00,0.00
-61.69,-89.00,0.00
-61.46,-90.00,0.00
-61.16,-91.00,0.00
-61.02,-92.00,0.00
-61.00,-92.56,0.00
-60.86,-94.00,0.00
-60.69,-95.00,0.00
-60.77,-96.00,0.00
-61.00,-96.60,0.00
-62.00,-96.48,0.00
-62.30,-97.00,0.00
-62.55,-98.00,0.00
-62.48,-99.00,0.00
-62.18,-100.00,0.00
-62.02,-101.00,0.00
-61.93,-102.00,0.00
-61.60,-103.00,0.00
-61.00,-103.59,0.00
-60.69,-104.00,0.00
-60.20,-105.00,0.00
-60.00,-105.78,0.00
-59.93,-107.00,0.00
-59.94,-108.00,0.00
-60.00,-109.00,0.00
-60.22,-110.00,0.00
-60.56,-111.00,0.00
-60.98,-112.00,0.00
-61.54,-113.00,0.00
-61.72,-114.00,0.00
-61.71,-115.00,0.00
-61.77,-116.00,0.00
-61.88,-117.00,0.00
-62.00,-117.94,0.00
-61.77,-119.00,0.00
-61.00,-119.97,0.00
-60.70,-121.00,0.00
-60.31,-122.00,0.00
-60.00,-122.55,0.00
-59.67,-123.00,0.00
-59.49,-124.00,0.00
-59.50,-125.00,0.00
-59.38,-126.00,0.00
-59.16,-127.00,0.00
-59.00,-127.65,0.00
-58.89,-129.00,0.00
-58.92,-130.00,0.00
-58.83,-131.00,0.00
-58.75,-132.00,0.00
-58.56,-133.00,0.00
-58.00,-133.72,0.00
-57.62,-135.00,0.00
-57.43,-136.00,0.00
-57.68,-137.00,0.00
-57.73,-138.00,0.00
-57.62,-139.00,0.00
-57.46,-140.00,0.00
-57.16,-141.00,0.00
-56.86,-142.00,0.00
-56.72,-143.00,0.00
-56.44,-144.00,0.00
-56.00,-144.77,0.00
-55.90,-146.00,0.00
-56.00,-146.82,0.00
-56.28,-147.00,0.00
-56.00,-147.17,0.00
-55.76,-148.00,0.00
-55.13,-149.00,0.00
-55.71,-150.00,0.00
-56.00,-150.81,0.00
-56.13,-152.00,0.00
-56.92,-153.00,0.00
-57.86,-154.00,0.00
-57.56,-155.00,0.00
-57.59,-156.00,0.00
-57.61,-157.00,0.00
-57.53,-158.00,0.00
-57.46,-159.00,0.00
-57.11,-160.00,0.00
-58.00,-160.70,0.00
-58.44,-162.00,0.00
-58.82,-163.00,0.00
-59.00,-163.53,0.00
-59.61,-164.00,0.00
-60.00,-164.53,0.00
-60.17,-165.00,0.00
-60.12,-166.00,0.00
-60.30,-167.00,0.00
-60.54,-168.00,0.00
-60.73,-169.00,0.00
-60.79,-170.00,0.00
-60.66,-171.00,0.00
-60.36,-172.00,0.00
-60.05,-173.00,0.00
-59.96,-174.00,0.00
-60.00,-174.92,0.00
-60.21,-176.00,0.00
-60.33,-177.00,0.00
-60.23,-178.00,0.00
-60.46,-179.00,0.00
-61.00,-179.53,0.00
-61.35,180.00,0.00
-61.86,179.00,0.00
-61.70,178.00,0.00
