[Latitude],[Longitude],[Value],[Direction]
75.00,-180.00,1.50,73
75.00,-178.75,1.50,73
75.00,-177.50,1.50,73
75.00,-176.25,1.50,73
75.00,-175.00,1.40,90
75.00,-173.75,1.40,90
75.00,-172.50,1.40,90
75.00,-171.25,1.30,90
75.00,-170.00,1.30,90
75.00,-168.75,1.30,90
75.00,-167.50,1.20,107
75.00,-166.25,1.20,107
75.00,-165.00,1.20,107
75.00,-163.75,1.30,90
75.00,-162.50,1.30,90
75.00,-161.25,1.30,107
75.00,-160.00,1.30,107
75.00,-158.75,1.30,107
75.00,-157.50,1.30,107
75.00,-156.25,1.30,107
75.00,-155.00,1.30,107
75.00,-153.75,1.40,107
75.00,-152.50,1.40,107
75.00,-151.25,1.50,107
75.00,-150.00,1.60,107
75.00,-148.75,1.60,107
75.00,-147.50,1.60,107
75.00,-146.25,1.70,107
75.00,-145.00,1.70,107
75.00,-143.75,1.70,107
75.00,-142.50,1.70,119
75.00,-141.25,1.70,119
75.00,-140.00,1.70,119
75.00,-138.75,1.80,119
75.00,-137.50,1.80,135
75.00,-136.25,1.80,135
75.00,-135.00,1.40,163
75.00,-133.75,1.40,163
75.00,-132.50,1.30,163
75.00,-131.25,1.10,180
75.00,-130.00,0.60,180
75.00,-128.75,0.60,180
75.00,-127.50,0.30,197
75.00,-126.25,0.40,180
75.00,-125.00,0.30,180
75.00,-118.75,0.30,73
75.00,-117.50,0.10,197
75.00,-116.25,0.20,180
75.00,-113.75,0.20,114
75.00,-108.75,0.00,127
75.00,-106.25,0.10,108
75.00,-105.00,0.10,107
75.00,-103.75,0.10,108
75.00,-102.50,0.20,114
75.00,-101.25,0.20,108
75.00,-97.50,0.10,101
75.00,-92.50,0.00,127
75.00,-80.00,0.00,37
75.00,-78.75,0.20,58
75.00,-77.50,0.30,0
75.00,-76.25,0.30,72
75.00,-75.00,0.30,84
75.00,-73.75,0.20,0
75.00,-72.50,0.20,343
75.00,-71.25,0.10,343
75.00,-70.00,0.10,151
75.00,-68.75,0.10,151
75.00,-67.50,0.20,163
75.00,-66.25,0.20,163
75.00,-65.00,0.20,163
75.00,-63.75,0.10,163
75.00,-62.50,0.20,96
75.00,-61.25,0.20,107
75.00,-20.00,0.30,6
75.00,-17.50,1.10,61
75.00,-16.25,1.70,61
75.00,-15.00,2.00,61
75.00,-13.75,2.10,61
75.00,-12.50,2.60,45
75.00,-11.25,2.70,45
75.00,-10.00,2.80,45
75.00,-8.75,3.20,29
75.00,-7.50,3.50,29
75.00,-6.25,3.80,29
75.00,-5.00,3.90,29
75.00,-3.75,3.80,29
75.00,-2.50,3.40,29
75.00,-1.25,3.10,37
75.00,0.00,2.60,29
75.00,1.25,2.30,29
75.00,2.50,1.90,29
75.00,3.75,1.70,45
75.00,5.00,1.70,53
75.00,6.25,1.50,73
75.00,7.50,1.40,73
75.00,8.75,1.30,73
75.00,10.00,1.30,73
75.00,11.25,0.70,163
75.00,12.50,0.60,180
75.00,13.75,0.70,180
75.00,15.00,0.50,225
75.00,16.25,0.50,225
75.00,17.50,0.60,197
75.00,18.75,1.20,180
75.00,20.00,0.70,197
75.00,21.25,0.60,180
75.00,22.50,0.60,180
75.00,23.75,0.40,197
75.00,25.00,0.30,241
75.00,26.25,0.30,241
75.00,27.50,1.00,180
75.00,28.75,0.90,180
75.00,30.00,0.70,197
75.00,31.25,0.60,197
75.00,32.50,0.50,180
75.00,33.75,0.30,209
75.00,35.00,0.50,163
75.00,36.25,0.30,119
75.00,37.50,0.40,135
75.00,38.75,0.40,135
75.00,40.00,0.50,135
75.00,41.25,0.60,135
75.00,42.50,0.60,151
75.00,43.75,0.60,151
75.00,45.00,0.60,151
75.00,46.25,0.60,151
75.00,47.50,0.40,163
75.00,48.75,0.40,163
75.00,50.00,0.30,163
75.00,51.25,0.20,270
75.00,52.50,0.30,45
75.00,53.75,0.20,270
75.00,55.00,0.20,270
75.00,61.25,0.20,180
75.00,62.50,0.20,180
75.00,63.75,0.10,180
75.00,65.00,0.10,143
75.00,66.25,0.10,61
75.00,67.50,0.20,61
75.00,68.75,0.20,61
75.00,70.00,0.20,61
75.00,71.25,0.30,0
75.00,72.50,0.30,0
75.00,73.75,0.30,343
75.00,75.00,0.30,343
75.00,76.25,0.30,343
75.00,77.50,0.30,343
75.00,78.75,0.30,331
75.00,80.00,0.30,331
75.00,81.25,0.30,331
75.00,82.50,0.20,315
75.00,83.75,0.20,315
75.00,85.00,0.20,315
75.00,86.25,0.10,315
75.00,87.50,0.00,349
75.00,113.75,0.40,53
75.00,115.00,0.40,61
75.00,116.25,0.40,66
75.00,117.50,0.50,73
