[Latitude],[Longitude],[Value]
-77.50,142.62,486
-75.00,141.59,486
-74.46,142.50,486
-72.50,144.94,486
-71.26,147.50,486
-70.00,149.93,486
-69.00,152.50,486
-68.18,155.00,486
-67.50,157.32,486
-66.71,160.00,486
-65.84,162.50,486
-65.00,164.69,486
-64.28,167.50,486
-63.70,170.00,486
-63.24,172.50,486
-62.85,175.00,486
-62.52,177.50,486
-62.36,180.00,486
-62.33,-177.50,486
-62.47,-175.00,486
-62.94,-172.50,486
-63.57,-170.00,486
-64.21,-167.50,486
-64.72,-165.00,486
-65.00,-163.72,486
-65.54,-162.50,486
-67.50,-160.36,486
-68.36,-160.00,486
-70.00,-158.63,486
-70.59,-157.50,486
-71.83,-155.00,486
-72.50,-154.05,486
-75.00,-154.19,486
-75.58,-155.00,486
-76.72,-157.50,486
-77.41,-160.00,486
-77.50,-160.40,486

-52.19,102.50,486
-51.80,105.00,486
-51.35,107.50,486
-51.31,110.00,486
-52.03,112.50,486
-52.50,113.51,486
-53.43,115.00,486
-55.00,116.78,486
-57.50,116.69,486
-60.00,115.34,486
-61.46,112.50,486
-61.78,110.00,486
-61.52,107.50,486
-60.76,105.00,486
-60.00,103.29,486
-59.29,102.50,486
-57.50,100.91,486
-55.00,100.55,486
-52.50,101.52,486
-52.19,102.50,486

-54.76,22.50,486
-54.66,25.00,486
-55.00,26.62,486
-55.30,27.50,486
-56.77,30.00,486
-57.50,31.47,486
-58.78,32.50,486
-59.81,35.00,486
-60.67,35.00,486
-62.50,34.00,486
-65.00,33.67,486
-67.50,34.43,486
-69.71,35.00,486
-70.14,32.50,486
-70.05,30.00,486
-69.78,27.50,486
-69.25,25.00,486
-68.55,22.50,486
-67.64,20.00,486
-65.99,17.50,486
-65.00,16.30,486
-63.96,15.00,486
-62.50,13.60,486
-60.00,13.15,486
-57.50,14.89,486
-56.33,17.50,486
-55.35,20.00,486
-55.00,21.16,486
-54.76,22.50,486

-73.89,60.00,486
-73.85,62.50,486
-74.33,65.00,486
-75.00,66.65,486
-75.52,65.00,486
-75.74,62.50,486
-75.53,60.00,486
-75.00,57.69,486
-73.89,60.00,486

-77.50,46.47,492
-77.22,45.00,492
-76.76,42.50,492
-76.29,40.00,492
-75.81,37.50,492
-75.25,35.00,492
-75.00,34.05,492
-74.75,32.50,492
-74.31,30.00,492
-73.85,27.50,492
-73.26,25.00,492
-72.50,22.66,492
-71.70,20.00,492
-70.71,17.50,492
-70.00,16.18,492
-69.27,15.00,492
-67.57,12.50,492
-65.00,10.03,492
-62.50,8.86,492
-60.00,8.55,492
-57.50,9.80,492
-56.17,12.50,492
-55.03,15.00,492
-54.28,17.50,492
-53.68,20.00,492
-53.30,22.50,492
-53.34,25.00,492
-53.87,27.50,492
-54.75,30.00,492
-55.00,30.71,492
-55.87,32.50,492
-56.46,35.00,492
-56.71,37.50,492
-57.50,38.28,492
-60.00,39.31,492
-61.37,40.00,492
-62.50,40.95,492
-65.00,42.27,492
-66.07,45.00,492
-66.66,47.50,492
-67.05,50.00,492
-67.36,52.50,492
-67.50,54.58,492
-68.03,57.50,492
-68.44,60.00,492
-69.02,62.50,492
-69.67,65.00,492
-70.00,65.89,492
-70.59,67.50,492
-71.97,70.00,492
-72.50,70.75,492
-73.61,72.50,492
-75.00,74.16,492
-76.88,72.50,492
-77.50,71.53,492

-77.50,127.29,492
-75.00,129.93,492
-73.64,132.50,492
-72.50,134.97,492
-71.57,137.50,492
-70.76,140.00,492
-70.00,142.01,492
-69.16,145.00,492
-68.17,147.50,492
-67.50,148.99,492
-67.29,150.00,492
-66.81,152.50,492
-66.22,155.00,492
-65.34,157.50,492
-65.00,158.37,492
-64.64,160.00,492
-64.07,162.50,492
-63.40,165.00,492
-62.72,167.50,492
-62.50,168.52,492
-62.24,170.00,492
-61.87,172.50,492
-61.57,175.00,492
-61.37,177.50,492
-61.27,180.00,492
-61.27,-177.50,492
-61.39,-175.00,492
-61.67,-172.50,492
-62.11,-170.00,492
-62.50,-168.06,492
-63.12,-165.00,492
-63.43,-162.50,492
-64.58,-160.00,492
-65.00,-159.37,492
-66.47,-157.50,492
-67.50,-155.69,492
-67.98,-155.00,492
-69.09,-152.50,492
-70.00,-150.50,492
-70.47,-150.00,492
-72.50,-148.20,492
-75.00,-147.66,492
-75.73,-147.50,492
-77.50,-146.69,492

-49.49,105.00,492
-49.33,107.50,492
-49.45,110.00,492
-49.89,112.50,492
-51.01,115.00,492
-52.48,117.50,492
-55.00,119.38,492
-57.50,119.92,492
-60.00,119.65,492
-61.91,117.50,492
-62.50,116.52,492
-63.09,115.00,492
-63.62,112.50,492
-63.79,110.00,492
-63.62,107.50,492
-63.16,105.00,492
-62.50,103.18,492
-62.24,102.50,492
-61.07,100.00,492
-60.00,98.28,492
-59.21,97.50,492
-57.50,95.69,492
-55.00,95.42,492
-52.50,96.93,492
-52.09,97.50,492
-50.82,100.00,492
-50.05,102.50,492
-49.49,105.00,492

-59.72,82.50,492
-58.37,85.00,492
-58.03,87.50,492
-58.94,90.00,492
-60.00,90.69,492
-62.50,90.69,492
-63.42,90.00,492
-64.25,87.50,492
-63.74,85.00,492
-62.50,83.99,492
-60.85,82.50,492
-60.00,82.19,492
-59.72,82.50,492

-62.21,-85.00,492
-62.33,-82.50,492
-63.17,-82.50,492
-63.04,-85.00,492
-62.50,-85.74,492
-62.21,-85.00,492

-77.50,16.82,498
-76.16,15.00,498
-75.00,13.96,498
-74.04,12.50,498
-72.50,10.09,498
-71.28,7.50,498
-70.07,5.00,498
-67.50,3.38,498
-65.00,3.32,498
-62.50,3.71,498
-60.00,4.12,498
-57.50,4.92,498
-55.71,7.50,498
-55.00,9.02,498
-54.76,10.00,498
-54.14,12.50,498
-53.47,15.00,498
-52.78,17.50,498
-52.50,18.60,498
-52.15,20.00,498
-51.86,22.50,498
-51.99,25.00,498
-52.50,27.27,498
-53.19,30.00,498
-53.95,32.50,498
-54.41,35.00,498
-54.35,37.50,498
-55.00,38.68,498
-56.36,40.00,498
-57.50,40.77,498
-60.00,42.25,498
-62.20,45.00,498
-62.50,45.54,498
-63.63,47.50,498
-64.31,50.00,498
-64.63,52.50,498
-64.72,55.00,498
-64.67,57.50,498
-64.58,60.00,498
-64.44,62.50,498
-64.27,65.00,498
-64.19,67.50,498
-64.25,70.00,498
-64.31,72.50,498
-63.12,75.00,498
-62.50,75.34,498
-60.00,77.25,498
-57.50,79.66,498
-57.21,80.00,498
-55.18,82.50,498
-53.05,85.00,498
-52.50,85.79,498
-50.64,87.50,498
-50.00,89.99,498
-49.37,92.50,498
-48.93,95.00,498
-48.66,97.50,498
-48.20,100.00,498
-47.83,102.50,498
-47.87,105.00,498
-47.98,107.50,498
-48.13,110.00,498
-48.50,112.50,498
-49.25,115.00,498
-50.00,117.06,498
-50.26,117.50,498
-52.50,119.74,498
-52.84,120.00,498
-55.00,121.60,498
-56.69,122.50,498
-57.50,123.16,498
-60.00,123.71,498
-61.60,122.50,498
-62.50,121.64,498
-64.05,120.00,498
-65.00,117.96,498
-66.37,117.50,498
-67.48,115.00,498
-67.75,117.50,498
-68.08,120.00,498
-68.40,122.50,498
-68.70,125.00,498
-68.86,127.50,498
-68.95,130.00,498
-68.95,132.50,498
-68.81,135.00,498
-68.58,137.50,498
-68.13,140.00,498
-67.50,142.45,498
-67.05,145.00,498
-66.55,147.50,498
-66.04,150.00,498
-65.43,152.50,498
-65.00,153.83,498
-64.69,155.00,498
-64.05,157.50,498
-63.43,160.00,498
-62.69,162.50,498
-62.50,163.12,498
-62.02,165.00,498
-61.46,167.50,498
-60.98,170.00,498
-60.62,172.50,498
-60.37,175.00,498
-60.23,177.50,498
-60.18,180.00,498
-60.21,-177.50,498
-60.30,-175.00,498
-60.51,-172.50,498
-60.81,-170.00,498
-61.17,-167.50,498
-61.52,-165.00,498
-61.57,-162.50,498
-62.11,-160.00,498
-62.50,-159.36,498
-63.71,-157.50,498
-65.00,-155.23,498
-66.23,-152.50,498
-66.84,-150.00,498
-67.50,-147.56,498
-68.62,-145.00,498
-69.82,-142.50,498
-72.50,-140.12,498
-75.00,-138.93,498
-75.83,-137.50,498
-77.12,-135.00,498
-77.50,-134.25,498

-77.50,89.57,498
-75.46,90.00,498
-75.00,90.42,498
-74.51,92.50,498
-74.45,95.00,498
-74.29,97.50,498
-74.16,100.00,498
-74.15,102.50,498
-74.17,105.00,498
-74.42,107.50,498
-75.00,109.26,498
-76.71,107.50,498
-77.50,106.81,498

-77.50,-102.58,498
-76.91,-102.50,498
-75.00,-102.35,498
-72.50,-101.23,498
-71.19,-100.00,498
-70.00,-98.30,498
-69.61,-97.50,498
-69.08,-95.00,498
-68.74,-92.50,498
-67.69,-90.00,498
-65.00,-91.96,498
-64.22,-92.50,498
-62.50,-93.31,498
-61.57,-92.50,498
-60.00,-90.85,498
-59.64,-90.00,498
-59.02,-87.50,498
-58.94,-85.00,498
-59.46,-82.50,498
-60.00,-81.07,498
-60.84,-80.00,498
-62.50,-77.58,498
-64.11,-75.00,498
-65.00,-73.01,498
-65.98,-70.00,498
-67.15,-67.50,498
-67.50,-67.07,498
-70.00,-66.88,498
-70.64,-67.50,498
-71.32,-70.00,498
-72.02,-72.50,498
-72.25,-75.00,498
-72.50,-76.32,498
-73.98,-77.50,498
-75.00,-77.93,498
-75.34,-77.50,498
-77.18,-75.00,498
-77.50,-74.60,498

-67.49,105.00,498
-67.49,105.00,498

-77.50,1.43,504
-76.13,2.50,504
-75.00,3.08,504
-74.49,2.50,504
-72.50,1.15,504
-71.49,0.00,504

-77.50,-52.51,504
-77.06,-55.00,504
-76.46,-57.50,504
-75.94,-60.00,504
-75.03,-62.50,504
-73.74,-60.00,504
-72.61,-57.50,504
-71.88,-57.50,504
-70.00,-58.25,504
-69.61,-60.00,504
-67.50,-62.07,504
-65.34,-65.00,504
-65.00,-65.44,504
-64.00,-67.50,504
-62.79,-70.00,504
-62.50,-70.63,504
-61.92,-72.50,504
-60.98,-75.00,504
-60.00,-77.18,504
-58.88,-80.00,504
-58.07,-82.50,504
-57.50,-84.37,504
-57.27,-85.00,504
-57.05,-87.50,504
-57.35,-90.00,504
-58.36,-92.50,504
-59.86,-95.00,504
-62.48,-97.50,504
-65.00,-99.20,504
-65.73,-100.00,504
-67.50,-101.80,504
-68.08,-102.50,504
-70.00,-104.91,504
-71.71,-107.50,504
-72.50,-109.38,504
-72.91,-110.00,504
-74.18,-112.50,504
-75.00,-114.49,504
-75.54,-117.50,504
-75.55,-120.00,504
-75.31,-122.50,504
-75.00,-124.24,504
-74.46,-125.00,504
-72.50,-126.31,504
-70.48,-125.00,504
-70.00,-124.77,504
-67.50,-124.37,504
-67.16,-125.00,504
-66.04,-127.50,504
-65.46,-130.00,504
-65.39,-132.50,504
-65.72,-135.00,504
-66.15,-137.50,504
-66.22,-140.00,504
-65.82,-142.50,504
-65.17,-145.00,504
-65.00,-145.68,504
-64.59,-147.50,504
-64.16,-150.00,504
-63.62,-152.50,504
-62.61,-155.00,504
-61.14,-157.50,504
-60.00,-159.49,504
-59.77,-160.00,504
-59.79,-162.50,504
-59.94,-165.00,504
-59.76,-167.50,504
-59.59,-170.00,504
-59.37,-172.50,504
-59.17,-175.00,504
-59.00,-177.50,504
-58.84,180.00,504
-58.87,177.50,504
-59.05,175.00,504
-59.32,172.50,504
-59.71,170.00,504
-60.00,168.70,504
-60.24,167.50,504
-60.85,165.00,504
-61.51,162.50,504
-62.21,160.00,504
-62.50,159.03,504
-62.92,157.50,504
-63.54,155.00,504
-64.17,152.50,504
-64.79,150.00,504
-65.00,148.99,504
-65.30,147.50,504
-65.74,145.00,504
-66.11,142.50,504
-66.42,140.00,504
-66.66,137.50,504
-66.72,135.00,504
-66.65,132.50,504
-66.35,130.00,504
-65.73,127.50,504
-65.00,125.82,504
-62.50,125.76,504
-60.00,126.85,504
-57.50,126.54,504
-56.43,125.00,504
-55.00,123.75,504
-53.53,122.50,504
-52.50,121.70,504
-50.58,120.00,504
-50.00,119.42,504
-48.91,117.50,504
-47.84,115.00,504
-47.50,113.85,504
-47.12,112.50,504
-46.71,110.00,504
-46.45,107.50,504
-46.07,105.00,504
-45.84,102.50,504
-46.20,100.00,504
-46.38,97.50,504
-46.60,95.00,504
-46.69,92.50,504
-46.86,90.00,504
-47.18,87.50,504
-47.50,85.95,504
-47.88,85.00,504
-49.30,82.50,504
-50.00,81.23,504
-51.81,80.00,504
-52.50,79.41,504
-54.49,77.50,504
-55.00,76.93,504
-56.50,75.00,504
-57.50,73.47,504
-58.16,72.50,504
-59.54,70.00,504
-60.00,68.94,504
-60.67,67.50,504
-61.55,65.00,504
-62.14,62.50,504
-62.50,60.40,504
-62.82,57.50,504
-62.84,55.00,504
-62.59,52.50,504
-62.04,50.00,504
-61.06,47.50,504
-60.00,45.77,504
-59.19,45.00,504
-57.50,43.59,504
-56.55,42.50,504
-55.00,41.38,504
-53.55,40.00,504
-52.50,37.88,504
-52.48,35.00,504
-52.17,32.50,504
-51.59,30.00,504
-50.95,27.50,504
-50.58,25.00,504
-50.46,22.50,504
-50.65,20.00,504
-51.18,17.50,504
-51.85,15.00,504
-52.44,12.50,504
-52.89,10.00,504
-53.34,7.50,504
-53.92,5.00,504
-54.70,2.50,504
-55.00,1.87,504
-57.20,0.00,504

-71.49,0.00,504
-70.00,-1.26,504
-67.50,-2.12,504
-65.00,-2.07,504
-62.50,-1.44,504
-60.00,-0.54,504
-57.50,-0.20,504
-57.20,0.00,504

-53.71,0.00,510
-55.00,-1.76,510
-56.05,-2.50,510
-57.50,-3.37,510
-60.00,-4.10,510
-62.50,-4.90,510
-62.85,-5.00,510
-65.00,-5.59,510
-67.50,-5.88,510
-70.00,-5.44,510
-72.50,-5.05,510
-74.37,-7.50,510
-74.86,-10.00,510
-74.93,-12.50,510
-74.99,-15.00,510
-75.08,-17.50,510
-75.03,-20.00,510
-74.84,-22.50,510
-74.41,-25.00,510
-73.56,-27.50,510
-72.50,-29.14,510
-72.23,-30.00,510
-70.66,-32.50,510
-70.00,-33.06,510
-69.45,-35.00,510
-68.89,-37.50,510
-68.54,-40.00,510
-68.35,-42.50,510
-68.21,-45.00,510
-68.02,-47.50,510
-67.68,-50.00,510
-67.50,-50.85,510
-67.30,-52.50,510
-66.83,-55.00,510
-66.27,-57.50,510
-65.00,-59.82,510
-64.07,-62.50,510
-62.95,-65.00,510
-62.50,-65.83,510
-61.88,-67.50,510
-60.91,-70.00,510
-60.00,-72.08,510
-58.94,-75.00,510
-58.10,-77.50,510
-57.50,-79.32,510
-57.27,-80.00,510
-56.46,-82.50,510
-55.62,-85.00,510
-55.18,-87.50,510
-55.29,-90.00,510
-55.98,-92.50,510
-57.32,-95.00,510
-59.04,-97.50,510
-60.00,-98.57,510
-61.52,-100.00,510
-62.50,-100.93,510
-64.21,-102.50,510
-65.00,-103.47,510
-66.23,-105.00,510
-67.42,-107.50,510
-68.14,-110.00,510
-68.44,-112.50,510
-68.18,-115.00,510
-67.50,-116.53,510
-67.22,-117.50,510
