[Latitude],[Longitude],[Value]
-55.10,180.00,0.50
-55.23,179.61,0.50
-55.33,179.22,0.50
-55.34,179.00,0.50
-55.35,178.81,0.50
-55.35,178.41,0.50
-55.36,178.00,0.50
-55.36,178.00,0.50
-55.35,177.59,0.50
-55.35,177.19,0.50
-55.35,177.00,0.50
-55.35,176.78,0.50
-55.34,176.38,0.50
-55.32,176.00,0.50
-55.31,175.97,0.50
-55.28,175.57,0.50
-55.25,175.16,0.50
-55.24,175.00,0.50
-55.22,174.76,0.50
-55.19,174.35,0.50
-55.16,174.00,0.50
-55.16,173.95,0.50
-55.40,173.66,0.50
-55.81,173.44,0.50
-56.00,173.26,0.50
-56.08,173.13,0.50
-56.14,173.00,0.50
-56.22,172.75,0.50
-56.32,172.35,0.50
-56.36,172.00,0.50
-56.36,171.95,0.50
-56.35,171.54,0.50
-56.35,171.14,0.50
-56.34,171.00,0.50
-56.34,170.73,0.50
-56.34,170.33,0.50
-56.30,170.00,0.50
-56.25,169.94,0.50
-56.00,169.91,0.50
-55.83,169.91,0.50
-55.42,169.91,0.50
-55.02,169.91,0.50
-55.00,169.91,0.50
-54.69,169.69,0.50
-54.43,169.36,0.50
-54.16,169.05,0.50
-54.08,169.00,0.50
-54.00,168.96,0.50
-53.78,168.94,0.50
-53.37,168.92,0.50
-53.00,168.91,0.50
-52.97,168.90,0.50
-52.56,168.91,0.50
-52.16,168.91,0.50
-52.00,168.90,0.50
-51.78,168.82,0.50
-51.51,168.51,0.50
-51.26,168.15,0.50
-51.08,168.00,0.50
-51.00,167.97,0.50
-50.96,168.00,0.50
-50.95,168.04,0.50
-50.95,168.45,0.50
-50.95,168.86,0.50
-50.95,169.00,0.50
-51.00,169.09,0.50
-51.10,169.22,0.50
-51.41,169.49,0.50
-51.73,169.75,0.50
-51.90,170.00,0.50
-51.90,170.09,0.50
-51.90,170.50,0.50
-51.90,170.91,0.50
-51.90,171.00,0.50
-52.00,171.27,0.50
-52.02,171.30,0.50
-52.42,171.30,0.50
-52.86,171.27,0.50
-53.00,171.30,0.50
-53.18,171.47,0.50
-53.47,171.75,0.50
-53.74,172.00,0.50
-53.77,172.03,0.50
-54.00,172.24,0.50
-54.07,172.30,0.50
-54.36,172.58,0.50
-54.65,172.86,0.50
-54.79,173.00,0.50
-54.91,173.19,0.50
-54.91,173.63,0.50
-54.91,174.00,0.50
-54.90,174.01,0.50
-54.61,174.30,0.50
-54.32,174.58,0.50
-54.02,174.86,0.50
-54.00,174.87,0.50
-53.86,175.00,0.50
-53.72,175.13,0.50
-53.42,175.40,0.50
-53.12,175.68,0.50
-53.00,175.79,0.50
-52.82,175.95,0.50
-52.76,176.00,0.50
-52.76,176.30,0.50
-52.76,176.75,0.50
-52.85,177.00,0.50
-52.95,177.08,0.50
-53.00,177.12,0.50
-53.25,177.36,0.50
-53.54,177.65,0.50
-53.82,177.94,0.50
-53.87,178.00,0.50
-54.00,178.22,0.50
-54.04,178.28,0.50
-54.33,178.56,0.50
-54.64,178.84,0.50
-54.77,179.00,0.50
-54.86,179.16,0.50
-54.86,179.56,0.50
-54.86,180.00,0.50

43.88,180.00,0.50
43.58,179.76,0.50
43.31,179.50,0.50
43.06,179.21,0.50
43.00,179.12,0.50
42.94,179.00,0.50
42.92,178.86,0.50
42.90,178.48,0.50
42.89,178.10,0.50
42.88,178.00,0.50
42.88,177.72,0.50
42.88,177.34,0.50
42.89,177.00,0.50
42.91,176.96,0.50
43.00,176.89,0.50
43.11,177.00,0.50
43.18,177.07,0.50
43.45,177.35,0.50
43.72,177.63,0.50
43.99,177.87,0.50
44.00,177.88,0.50
44.26,177.86,0.50
44.52,177.51,0.50
44.79,177.11,0.50
44.88,177.00,0.50
45.00,176.88,0.50
45.07,176.82,0.50
45.44,176.55,0.50
45.79,176.29,0.50
45.88,176.02,0.50
45.88,176.00,0.50
45.69,175.75,0.50
45.41,175.48,0.50
45.10,175.21,0.50
45.00,175.11,0.50
44.89,175.00,0.50
44.83,174.94,0.50
44.56,174.67,0.50
44.29,174.40,0.50
44.02,174.13,0.50
44.00,174.11,0.50
43.89,174.00,0.50
43.89,173.84,0.50
43.89,173.45,0.50
43.93,173.05,0.50
43.95,173.00,0.50
44.00,172.89,0.50
44.14,172.73,0.50
44.49,172.50,0.50
44.80,172.25,0.50
44.89,172.00,0.50
44.89,171.91,0.50
44.89,171.53,0.50
44.89,171.15,0.50
44.88,171.00,0.50
44.88,170.77,0.50
44.88,170.39,0.50
44.88,170.01,0.50
44.88,170.00,0.50
44.74,169.70,0.50
44.41,169.46,0.50
44.08,169.22,0.50
44.00,169.12,0.50
43.94,169.00,0.50
43.93,168.88,0.50
43.90,168.50,0.50
43.88,168.12,0.50
43.88,168.00,0.50
43.88,167.74,0.50
43.88,167.36,0.50
43.88,167.00,0.50
43.89,166.98,0.50
44.00,166.93,0.50
44.09,167.00,0.50
44.21,167.10,0.50
44.47,167.38,0.50
44.73,167.66,0.50
45.00,167.91,0.50
45.00,167.91,0.50
45.22,168.00,0.50
45.34,168.08,0.50
45.59,168.37,0.50
45.85,168.66,0.50
46.00,168.78,0.50
46.17,168.84,0.50
46.57,168.84,0.50
46.94,168.91,0.50
47.00,168.95,0.50
47.05,169.00,0.50
47.22,169.17,0.50
47.49,169.43,0.50
47.76,169.70,0.50
48.00,169.94,0.50
48.03,169.96,0.50
