[Latitude],[Longitude],[Value]
-51.60,0.00,0.00
-51.00,-0.42,0.00
-50.90,-1.00,0.00
-50.58,-2.00,0.00
-50.48,-3.00,0.00
-50.54,-4.00,0.00
-50.85,-5.00,0.00
-52.00,-5.36,0.00
-52.61,-6.00,0.00
-52.60,-7.00,0.00
-52.27,-8.00,0.00
-52.00,-8.70,0.00
-51.68,-10.00,0.00
-51.82,-11.00,0.00
-51.87,-12.00,0.00
-51.84,-13.00,0.00
-52.00,-13.99,0.00
-52.47,-15.00,0.00
-52.70,-16.00,0.00
-53.00,-16.80,0.00
-53.81,-17.00,0.00
-55.00,-17.61,0.00
-55.64,-18.00,0.00
-55.76,-19.00,0.00
-55.73,-20.00,0.00
-55.63,-21.00,0.00
-55.40,-22.00,0.00
-55.11,-23.00,0.00
-55.01,-24.00,0.00
-54.96,-25.00,0.00
-54.87,-26.00,0.00
-54.83,-27.00,0.00
-54.41,-28.00,0.00
-54.00,-28.51,0.00
-53.00,-28.92,0.00
-52.00,-28.86,0.00
-52.52,-30.00,0.00
-52.48,-31.00,0.00
-52.29,-32.00,0.00
-52.34,-33.00,0.00
-52.41,-34.00,0.00
-53.00,-34.18,0.00
-54.00,-34.06,0.00
-55.00,-33.77,0.00
-56.00,-33.81,0.00
-56.23,-34.00,0.00
-56.62,-35.00,0.00
-56.40,-36.00,0.00
-56.00,-36.53,0.00
-55.83,-37.00,0.00
-55.51,-38.00,0.00
-55.22,-39.00,0.00
-55.31,-40.00,0.00
-55.85,-41.00,0.00
-56.00,-41.41,0.00
-56.35,-42.00,0.00
-56.52,-43.00,0.00
-56.54,-44.00,0.00
-56.00,-44.84,0.00
-55.00,-45.94,0.00
-55.54,-47.00,0.00
-56.00,-47.42,0.00
-56.43,-48.00,0.00
-57.00,-48.73,0.00
-57.38,-49.00,0.00
-57.84,-50.00,0.00
-57.87,-51.00,0.00
-58.00,-51.57,0.00
-58.13,-52.00,0.00
-58.40,-53.00,0.00
-58.33,-54.00,0.00
-58.00,-54.53,0.00
-57.79,-55.00,0.00
-57.44,-56.00,0.00
-57.41,-57.00,0.00
-57.34,-58.00,0.00
-57.42,-59.00,0.00
-57.83,-60.00,0.00
-58.23,-61.00,0.00
-58.13,-62.00,0.00
-58.00,-62.73,0.00
-58.73,-64.00,0.00
-59.00,-64.29,0.00
-59.34,-65.00,0.00
-59.54,-66.00,0.00
-59.56,-67.00,0.00
-60.00,-67.96,0.00
-60.99,-69.00,0.00
-60.92,-70.00,0.00
-60.77,-71.00,0.00
-60.81,-72.00,0.00
-61.00,-72.53,0.00
-61.40,-73.00,0.00
-62.00,-73.68,0.00
-62.08,-75.00,0.00
-61.35,-76.00,0.00
-61.84,-77.00,0.00
-62.90,-78.00,0.00
-63.18,-79.00,0.00
-63.02,-80.00,0.00
-62.56,-81.00,0.00
-62.23,-82.00,0.00
-62.16,-83.00,0.00
-62.11,-84.00,0.00
-62.18,-85.00,0.00
-62.18,-86.00,0.00
-62.06,-87.00,0.00
-61.72,-88.00,0.00
-61.67,-89.00,0.00
-61.61,-90.00,0.00
-61.50,-91.00,0.00
-61.48,-92.00,0.00
-61.44,-93.00,0.00
-61.28,-94.00,0.00
-61.00,-94.85,0.00
-60.73,-96.00,0.00
-60.74,-97.00,0.00
-60.90,-98.00,0.00
-61.00,-98.56,0.00
-61.18,-99.00,0.00
-61.27,-100.00,0.00
-61.31,-101.00,0.00
-61.22,-102.00,0.00
-61.00,-102.55,0.00
-60.79,-103.00,0.00
-60.29,-104.00,0.00
-60.01,-105.00,0.00
-59.90,-106.00,0.00
-59.87,-107.00,0.00
-59.86,-108.00,0.00
