[Latitude],[Longitude],[Value]
-76.00,21.96,486
-75.00,21.74,486
-74.00,21.59,486
-73.52,22.00,486
-73.00,22.49,486
-72.67,23.00,486
-72.07,24.00,486
-71.68,25.00,486
-71.40,26.00,486
-71.04,27.00,486
-70.38,28.00,486
-70.00,28.56,486
-69.20,28.00,486
-68.56,27.00,486
-68.00,26.03,486
-67.46,25.00,486
-67.00,24.30,486
-66.00,23.17,486
-65.00,22.59,486
-64.00,22.47,486
-63.00,22.92,486
-62.81,24.00,486
-63.15,25.00,486
-63.52,26.00,486
-63.83,27.00,486
-64.22,28.00,486
-64.53,29.00,486
-64.75,30.00,486
-64.96,31.00,486
-65.31,32.00,486
-65.55,33.00,486
-65.72,34.00,486
-65.85,35.00,486
-65.96,36.00,486
-66.15,37.00,486
-66.31,38.00,486
-66.41,39.00,486
-66.48,40.00,486
-66.54,41.00,486
-66.60,42.00,486
-66.68,43.00,486
-66.77,44.00,486
-66.85,45.00,486
-66.92,46.00,486
-66.96,47.00,486
-66.95,48.00,486
-66.94,49.00,486
-66.88,50.00,486
-66.83,51.00,486
-66.72,52.00,486
-66.66,53.00,486
-66.65,54.00,486
-66.66,55.00,486
-66.49,56.00,486
-66.30,57.00,486
-66.26,58.00,486
-66.22,59.00,486
-66.14,60.00,486
-66.06,61.00,486
-65.97,62.00,486
-65.89,63.00,486
-65.82,64.00,486
-65.74,65.00,486
-65.67,66.00,486
-65.61,67.00,486
-65.54,68.00,486
-65.46,69.00,486
-65.38,70.00,486
-65.30,71.00,486
-65.21,72.00,486
-65.11,73.00,486
-65.00,73.88,486
-64.87,75.00,486
-64.74,76.00,486
-64.59,77.00,486
-64.42,78.00,486
-64.26,79.00,486
-64.11,80.00,486
-64.00,80.76,486
-63.83,82.00,486
-63.67,83.00,486
-63.49,84.00,486
-63.29,85.00,486
-63.07,86.00,486
-62.82,87.00,486
-62.56,88.00,486
-62.28,89.00,486
-62.00,89.96,486
-61.73,91.00,486
-61.48,92.00,486
-61.22,93.00,486
-61.00,93.85,486
-60.76,95.00,486
-60.54,96.00,486
-60.30,97.00,486
-60.04,98.00,486
-59.80,99.00,486
-59.58,100.00,486
-59.41,101.00,486
-59.35,102.00,486
-59.51,103.00,486
-59.81,104.00,486
-59.97,105.00,486
-59.99,106.00,486
-59.94,107.00,486
-59.86,108.00,486
-59.81,109.00,486
-59.81,110.00,486
-59.89,111.00,486
-60.08,112.00,486
-60.41,113.00,486
-60.87,114.00,486
-61.41,115.00,486
-62.00,115.89,486
-62.69,117.00,486
-63.00,117.55,486
-63.79,119.00,486
-64.34,120.00,486
-64.83,121.00,486
-65.23,122.00,486
-65.59,123.00,486
-65.99,124.00,486
-67.00,124.90,486
-68.00,125.70,486
-68.48,126.00,486
-68.95,127.00,486
-68.97,128.00,486
-68.90,129.00,486
-68.77,130.00,486
-68.65,131.00,486
-68.52,132.00,486
-68.40,133.00,486
-68.28,134.00,486
-68.16,135.00,486
-68.04,136.00,486
-67.91,137.00,486
-67.76,138.00,486
-67.62,139.00,486
-67.49,140.00,486
-67.39,141.00,486
-67.31,142.00,486
-67.26,143.00,486
-67.16,144.00,486
-67.09,145.00,486
-66.97,146.00,486
-66.89,147.00,486
-66.79,148.00,486
-66.69,149.00,486
-66.58,150.00,486
-66.49,151.00,486
-66.39,152.00,486
-66.29,153.00,486
-66.20,154.00,486
-66.09,155.00,486
-66.00,155.80,486
-65.84,157.00,486
-65.69,158.00,486
-65.54,159.00,486
-65.39,160.00,486
-65.24,161.00,486
-65.08,162.00,486
-64.92,163.00,486
-64.77,164.00,486
-64.64,165.00,486
-64.52,166.00,486
-64.40,167.00,486
-64.28,168.00,486
-64.16,169.00,486
-64.06,170.00,486
-63.96,171.00,486
-63.88,172.00,486
-63.82,173.00,486
-63.77,174.00,486
-63.75,175.00,486
-63.74,176.00,486
-63.75,177.00,486
-63.79,178.00,486
-63.88,179.00,486
-64.00,179.91,486
-64.25,-179.00,486
-64.73,-178.00,486
-65.82,-177.00,486
-67.00,-176.47,486
-68.00,-176.21,486
-69.00,-176.10,486
-70.00,-176.16,486
-71.00,-176.47,486
-72.00,-176.88,486
-72.36,-177.00,486
-73.00,-177.25,486
-74.00,-177.42,486
-75.00,-177.60,486
-76.00,-177.69,486

-76.00,-108.38,486
-75.03,-107.00,486
-74.45,-107.00,486
-74.00,-107.02,486
-73.00,-106.79,486
-72.14,-107.00,486
-71.00,-107.56,486
-70.26,-108.00,486
-69.00,-108.20,486
-68.00,-108.14,486
-67.25,-108.00,486
-66.00,-107.45,486
-65.51,-107.00,486
-65.00,-106.54,486
-64.58,-106.00,486
-64.00,-105.28,486
-63.29,-104.00,486
-63.00,-103.48,486
-62.32,-102.00,486
-62.00,-101.33,486
-61.44,-100.00,486
-61.05,-99.00,486
-60.75,-98.00,486
-60.52,-97.00,486
-60.35,-96.00,486
-60.23,-95.00,486
-60.13,-94.00,486
-60.02,-93.00,486
-59.85,-92.00,486
-59.64,-91.00,486
-59.43,-90.00,486
-59.20,-89.00,486
-59.07,-88.00,486
-59.08,-87.00,486
-59.19,-86.00,486
-59.39,-85.00,486
-59.62,-84.00,486
-59.91,-83.00,486
-60.25,-82.00,486
-60.65,-81.00,486
-61.00,-80.19,486
-61.53,-79.00,486
-61.97,-78.00,486
-62.43,-77.00,486
-62.90,-76.00,486
-63.37,-75.00,486
-63.85,-74.00,486
-64.33,-73.00,486
-64.82,-72.00,486
-65.37,-71.00,486
-65.95,-70.00,486
-66.50,-69.00,486
-67.00,-68.11,486
-67.44,-67.00,486
-67.68,-66.00,486
-68.00,-65.39,486
-68.62,-64.00,486
-69.00,-63.28,486
-69.64,-62.00,486
-69.83,-61.00,486
-69.99,-60.00,486
-70.12,-59.00,486
-70.19,-58.00,486
-70.27,-57.00,486
-70.31,-56.00,486
-70.33,-55.00,486
-70.30,-54.00,486
-70.24,-53.00,486
-70.15,-52.00,486
-70.02,-51.00,486
-69.85,-50.00,486
-69.63,-49.00,486
-69.36,-48.00,486
-69.05,-47.00,486
-68.77,-46.00,486
-68.50,-45.00,486
-68.24,-44.00,486
-68.00,-43.10,486
-67.75,-42.00,486
-67.56,-41.00,486
-67.40,-40.00,486
-67.26,-39.00,486
-67.16,-38.00,486
-67.08,-37.00,486
-67.03,-36.00,486
-67.02,-35.00,486
-67.04,-34.00,486
-67.10,-33.00,486
-67.20,-32.00,486
-67.37,-31.00,486
-67.58,-30.00,486
-67.82,-29.00,486
-68.16,-28.00,486
-68.62,-27.00,486
-69.00,-26.30,486
-69.73,-25.00,486
-70.34,-24.00,486
-70.97,-23.00,486
-71.59,-22.00,486
-72.00,-21.34,486
-72.76,-20.00,486
-73.31,-19.00,486
-73.79,-18.00,486
-74.26,-17.00,486
-74.65,-16.00,486
-74.95,-15.00,486
-75.45,-14.00,486
-76.00,-13.11,486

-53.95,24.00,486
-54.00,24.92,486
-54.38,26.00,486
-55.00,26.98,486
-56.00,27.96,486
-57.00,28.47,486
-58.00,28.84,486
-59.00,28.56,486
-59.29,27.00,486
-59.29,26.00,486
-59.10,25.00,486
-58.88,24.00,486
-58.78,23.00,486
-58.68,22.00,486
-58.28,21.00,486
-57.00,20.04,486
-56.00,20.17,486
-55.00,20.95,486
-54.39,22.00,486
-54.07,23.00,486
-53.95,24.00,486

-76.00,2.61,492
-75.82,4.00,492
-75.45,6.00,492
-75.19,7.00,492
-74.88,8.00,492
-74.48,9.00,492
-74.00,9.91,492
-73.30,11.00,492
-72.27,12.00,492
-71.08,13.00,492
-70.00,13.70,492
-69.43,14.00,492
-69.00,14.22,492
-68.00,14.72,492
-67.41,15.00,492
-67.00,15.22,492
-66.00,15.72,492
-65.43,16.00,492
-65.00,16.28,492
-64.00,16.88,492
-63.00,17.44,492
-62.00,17.81,492
-61.05,18.00,492
-60.00,18.03,492
-59.55,18.00,492
-59.00,17.96,492
-58.00,17.87,492
-57.00,17.91,492
-56.00,18.27,492
-55.00,18.95,492
-54.00,20.00,492
-53.37,21.00,492
-53.00,21.83,492
-52.70,23.00,492
-52.61,24.00,492
-52.67,25.00,492
-52.85,26.00,492
-53.00,26.69,492
-53.39,28.00,492
-53.78,29.00,492
-54.00,29.45,492
-54.34,30.00,492
-55.00,30.95,492
-56.00,31.89,492
-57.00,32.44,492
-58.00,32.66,492
-59.00,32.43,492
-59.73,32.00,492
-61.00,31.19,492
-62.00,31.27,492
-62.62,32.00,492
-63.00,32.46,492
-63.46,34.00,492
-63.70,35.00,492
-63.91,36.00,492
-64.06,37.00,492
-64.17,38.00,492
-64.24,39.00,492
-64.29,40.00,492
-64.32,41.00,492
-64.34,42.00,492
-64.34,43.00,492
-64.34,44.00,492
-64.33,45.00,492
-64.33,46.00,492
-64.33,47.00,492
-64.40,48.00,492
-64.50,49.00,492
-64.61,50.00,492
-64.70,51.00,492
-64.77,52.00,492
-64.84,53.00,492
-64.91,54.00,492
-64.96,55.00,492
-64.98,56.00,492
-64.95,57.00,492
-64.89,58.00,492
-64.83,59.00,492
-64.78,60.00,492
-64.72,61.00,492
-64.63,62.00,492
-64.54,63.00,492
-64.44,64.00,492
-64.35,65.00,492
-64.25,66.00,492
-64.15,67.00,492
-64.04,68.00,492
-63.93,69.00,492
-63.82,70.00,492
-63.69,71.00,492
-63.55,72.00,492
-63.41,73.00,492
-63.26,74.00,492
-63.09,75.00,492
-62.90,76.00,492
-62.70,77.00,492
-62.48,78.00,492
-62.27,79.00,492
-62.06,80.00,492
-61.87,81.00,492
-61.69,82.00,492
-61.52,83.00,492
-61.34,84.00,492
-61.15,85.00,492
-61.00,85.78,492
-60.77,87.00,492
-60.56,88.00,492
-60.34,89.00,492
-60.11,90.00,492
-59.87,91.00,492
-59.64,92.00,492
-59.42,93.00,492
-59.18,94.00,492
-59.00,94.71,492
-58.68,96.00,492
-58.41,97.00,492
-58.12,98.00,492
-57.85,99.00,492
-57.59,100.00,492
-57.34,101.00,492
-57.13,102.00,492
-57.00,102.90,492
-57.00,104.00,492
-57.13,105.00,492
-57.24,106.00,492
-57.26,107.00,492
-57.21,108.00,492
-57.13,109.00,492
-57.07,110.00,492
-57.11,111.00,492
-57.26,112.00,492
-57.47,113.00,492
-57.72,114.00,492
-58.00,114.93,492
-58.35,116.00,492
-58.66,117.00,492
-58.96,118.00,492
-59.29,119.00,492
-59.62,120.00,492
-59.94,121.00,492
-60.35,122.00,492
-60.72,123.00,492
-61.00,123.82,492
-61.61,125.00,492
-62.00,125.97,492
-62.57,127.00,492
-62.98,128.00,492
-63.31,129.00,492
-63.55,130.00,492
-63.71,131.00,492
-63.83,132.00,492
-63.92,133.00,492
-64.00,133.84,492
-64.17,135.00,492
-64.27,136.00,492
-64.39,137.00,492
-64.59,138.00,492
-64.81,139.00,492
-65.00,139.96,492
-65.16,141.00,492
-65.27,142.00,492
-65.36,143.00,492
-65.43,144.00,492
-65.46,145.00,492
-65.46,146.00,492
-65.45,147.00,492
-65.43,148.00,492
-65.39,149.00,492
-65.35,150.00,492
-65.31,151.00,492
-65.26,152.00,492
-65.20,153.00,492
-65.13,154.00,492
-65.05,155.00,492
-64.95,156.00,492
-64.85,157.00,492
-64.73,158.00,492
-64.60,159.00,492
-64.45,160.00,492
-64.31,161.00,492
-64.18,162.00,492
-64.05,163.00,492
-63.93,164.00,492
-63.80,165.00,492
-63.67,166.00,492
-63.54,167.00,492
-63.42,168.00,492
-63.32,169.00,492
-63.21,170.00,492
-63.11,171.00,492
-63.01,172.00,492
-62.90,173.00,492
-62.81,174.00,492
-62.75,175.00,492
-62.69,176.00,492
-62.62,177.00,492
-62.57,178.00,492
-62.57,179.00,492
-62.61,180.00,492
-62.70,-179.00,492
-62.91,-178.00,492
-63.42,-177.00,492
-64.00,-176.42,492
-64.51,-176.00,492
-65.00,-175.64,492
-66.00,-175.09,492
-67.00,-174.61,492
-68.00,-174.18,492
-68.54,-174.00,492
-69.00,-173.81,492
-70.00,-173.53,492
-71.00,-173.29,492
-72.00,-173.03,492
-73.00,-172.81,492
-74.00,-172.69,492
-75.00,-172.03,492
-76.00,-171.00,492

-76.00,-119.75,492
-75.61,-118.00,492
-75.36,-117.00,492
-75.00,-116.04,492
-74.57,-115.00,492
-74.00,-114.10,492
-73.34,-113.00,492
-73.00,-112.57,492
-72.33,-112.00,492
-72.00,-111.76,492
-71.00,-111.48,492
-70.00,-111.41,492
-69.00,-111.24,492
-68.00,-111.01,492
-67.00,-110.64,492
-66.06,-110.00,492
-65.07,-109.00,492
-64.25,-108.00,492
-63.54,-107.00,492
-63.00,-106.13,492
-62.38,-105.00,492
-62.00,-104.25,492
-61.41,-103.00,492
-61.00,-102.09,492
-60.54,-101.00,492
-60.15,-100.00,492
-59.80,-99.00,492
-59.48,-98.00,492
-59.22,-97.00,492
-59.02,-96.00,492
-58.86,-95.00,492
-58.70,-94.00,492
-58.48,-93.00,492
