[Latitude],[Longitude],[Value]
43.88,180.00,0.50
43.56,179.75,0.50
43.28,179.48,0.50
43.03,179.17,0.50
43.00,179.12,0.50
42.94,179.00,0.50
42.87,178.81,0.50
42.74,178.44,0.50
42.64,178.06,0.50
42.62,178.00,0.50
42.62,177.68,0.50
42.63,177.28,0.50
42.77,177.00,0.50
42.86,176.90,0.50
43.00,176.89,0.50
43.11,177.00,0.50
43.17,177.06,0.50
43.45,177.34,0.50
43.73,177.61,0.50
44.00,177.89,0.50
44.01,177.89,0.50
44.39,177.89,0.50
44.83,177.89,0.50
45.00,177.89,0.50
45.14,177.75,0.50
45.41,177.47,0.50
45.69,177.19,0.50
45.88,177.00,0.50
45.97,176.91,0.50
46.00,176.88,0.50
46.27,176.63,0.50
46.59,176.35,0.50
46.84,176.08,0.50
46.88,176.00,0.50
46.86,175.80,0.50
46.55,175.52,0.50
46.14,175.24,0.50
46.00,175.11,0.50
45.89,175.00,0.50
45.85,174.96,0.50
45.57,174.68,0.50
45.29,174.40,0.50
45.01,174.12,0.50
45.00,174.11,0.50
44.65,174.10,0.50
44.22,174.11,0.50
44.00,174.10,0.50
43.95,174.00,0.50
43.97,173.95,0.50
44.00,173.90,0.50
44.26,173.65,0.50
44.62,173.41,0.50
44.87,173.13,0.50
44.89,173.00,0.50
44.90,172.75,0.50
44.90,172.35,0.50
44.90,172.00,0.50
44.90,171.96,0.50
44.89,171.57,0.50
44.89,171.17,0.50
44.89,171.00,0.50
44.89,170.78,0.50
44.89,170.38,0.50
44.89,170.00,0.50
44.89,169.99,0.50
44.88,169.60,0.50
44.88,169.20,0.50
44.88,169.00,0.50
44.88,168.81,0.50
44.88,168.41,0.50
44.89,168.02,0.50
44.89,168.00,0.50
45.00,167.83,0.50
45.12,167.95,0.50
45.18,168.00,0.50
45.40,168.23,0.50
45.68,168.51,0.50
45.96,168.79,0.50
46.00,168.83,0.50
46.30,168.98,0.50
46.35,169.00,0.50
46.60,169.23,0.50
46.87,169.53,0.50
47.00,169.65,0.50
47.19,169.72,0.50
47.60,169.72,0.50
47.99,169.83,0.50
48.00,169.84,0.50
48.08,170.00,0.50
48.11,170.19,0.50
48.08,170.60,0.50
48.11,170.98,0.50
48.12,171.00,0.50
48.35,171.29,0.50
48.66,171.54,0.50
48.95,171.82,0.50
49.00,171.89,0.50
49.05,172.00,0.50
49.07,172.18,0.50
49.09,172.58,0.50
49.11,172.97,0.50
49.12,173.00,0.50
49.14,173.36,0.50
49.16,173.76,0.50
49.18,174.00,0.50
49.18,174.15,0.50
49.13,174.54,0.50
49.12,174.94,0.50
49.12,175.00,0.50
49.27,175.28,0.50
49.60,175.53,0.50
49.92,175.78,0.50
50.00,175.89,0.50
